,Unnamed: 0,HYP_Erate_emr,HYP_Qrate_emr,scale_factor_Ep_temp,scale_factor_P_temp,1_NSE,RMSE
0,0,2.01,66.3,1.0,1.0,18.7224010616197,1.5790056787273852
1,1,1.6632608805050633,131.8345089582418,1.380599515225514,1.1426767726832168,0.5325716009646914,0.26631272711106824
2,2,2.6207711058044696,63.203218664680776,1.381783834141966,1.1502734980093934,6.614347655578982,0.9385262602375753
3,3,1.1070623431478448,108.05876817201708,1.0863320118864117,1.104088149783653,200.5078228695356,5.167358351282326
4,4,1.9538832630609375,171.97203033517553,1.2195682470032845,1.2156612214476945,1.8389572004689843,0.4948672695896949
5,5,1.7793975797669344,51.57686321246705,1.045803293123335,0.7474486715981388,19.96221196685169,1.6304491217889514
6,6,1.667597709309426,82.99441562570419,1.176570655753577,1.3273170185400582,67.93836224567251,3.0078796569297417
7,7,1.591318250258247,108.8613425856327,1.331722185603094,0.9634291007474592,0.4982691238381296,0.2575935046434248
8,8,2.353102101741321,71.91506009535378,0.7069685029348041,1.3003345163311453,19.01134893759575,1.5911436366541079
9,9,2.4585819204048507,139.9494751905334,0.9158428781936786,0.905502799176886,6.319495146916122,0.9173691095863917
